ID,g_mag,g_mag_err,rp_mag,rp_mag_err,bp_mag,bp_mag_err,A_G,gaia_lum,gaia_lum_err,distance,distance_err,tm_ID,K_mag,K_mag_err,ra,dec,mem_prob,Bp_Rp,Bp_Rp_err,value
573775023354112384,16.249886,0.0006248429781532786,15.69618,0.002977018739467864,16.647425,0.0049813690304672635,0.318,0.9370584,0.17210561,1841.7437113757,153.09471363114994,00561265+8515035,14.763,0.105,14.05257557,85.25096906287,1.0,0.95124435,0.005803161034543259,-3.0281324
573775332591773056,16.46616,0.0006292544627675668,15.89342,0.0037114904096230803,16.891195,0.007487342616298019,0.2615,0.632899,0.114872694,1679.22194939524,141.74247640824,00583965+8517171,14.669,0.086,14.66504913471,85.28809465878,0.9,0.9977751,0.008356761365179488,-3.0699167
573775508687032320,15.875793,0.0005878538555084932,15.339399,0.002008601680580214,16.246914,0.004924242830994326,0.2693,1.0431774,0.14484406,1653.30688234662,99.46650661255012,00572859+8517053,14.286,0.07,14.36899225659,85.28480674405,1.0,0.9075146,0.005318143300986603,-2.8180275
573775611766243840,15.416983,0.00044153209496255313,14.887529,0.0017902152031155042,15.783819,0.002677810798872514,0.654,2.0465772,0.2725314,1874.51864300177,100.97538587988993,00570474+8518222,13.97,0.051,14.269769762370002,85.30615726431999,1.0,0.8962898,0.003221108683050626,-2.401309
573775641829426688,17.309294,0.0010534859815436127,16.649578,0.005249327296835053,17.844725,0.014469334151613044,,,,2080.35640376561,386.10877551281965,00572928+8519107,15.151,0.14,14.372064767489999,85.31965645446,1.0,1.1951466,0.015392110571988922,-3.1729069
573776333320750464,16.808372,0.0007563648681841941,16.19055,0.003656391094539174,17.279224,0.01242533519011704,0.4225,0.53456116,0.11317712,1750.96148895285,179.22887925952,01030074+8519081,15.017,0.118,15.75267983076,85.31888473785,0.9,1.0886745,0.012952148486756404,-3.0712566
573779494416674560,16.362555,0.0005930753167237143,15.756428,0.003076338281308117,16.827326,0.004296905230097196,0.584,0.7391699,0.12012279,1694.97448180754,124.07935917639998,01050672+8521271,14.431,0.078,16.27797511472,85.35750533274,0.9,1.070898,0.0052846240904607785,-2.6921005
573780662647770240,15.629188,0.00044818750861993714,15.093126,0.001982824012569387,16.009033,0.0029931667421211924,0.564,1.4931365,0.19586611,1764.53911050325,95.67917026021996,01084345+8524480,14.051,0.056,17.18080462405,85.41331647438001,1.0,0.9159069,0.0035903534938724565,-2.5399494
573782346274961280,16.899559,0.0008066826657466584,16.270897,0.00513167960111158,17.380308,0.007147121662031149,0.449,0.57077885,0.13759047,1856.21110374877,217.73692475993016,01032398+8520355,15.098,0.136,15.849822102129998,85.34319240744,1.0,1.1094112,0.008798606911343385,-3.0846806
573782380635076736,16.120396,0.0005561612015528022,15.520603,0.0025018627961879607,16.567982,0.004227386369240145,0.6902,1.0276368,0.16929865,1810.09344760969,131.73922747296,01032576+8521300,14.359,0.069,15.857204865939998,85.35832285443001,1.0,1.0473785,0.004912241134735429,-2.5381393
573783445786576768,17.15421,0.000901558872752496,16.5024,0.006132155741451019,17.657715,0.009824013789031909,,,,1888.50148006332,277.99827779571,01001414+8524058,14.946,0.112,15.058483116089999,85.40163059947,1.0,1.1553154,0.011580784989131771,-3.1671896
573784339139761920,15.273831,0.0003449716434169381,14.7397,0.0014846375217241218,15.642486,0.002339372849007905,,2.5001903,0.33230305,1929.53630989982,102.21603434297003,00581330+8528368,13.708,0.037,14.55548046671,85.47688543794001,1.0,0.9027853,0.002770706389639022,-2.2338
573785232492958976,15.550154,0.000421159696413465,15.008027,0.001717205148555214,15.942217,0.002798926479112952,0.7662,1.8025633,0.22368205,1858.67400295249,89.44437715852018,01054849+8530032,14.018,0.05,16.45182685741,85.50089730148001,0.9,0.9341898,0.0032837148106533496,-2.392355
573785850968248448,16.568308,0.000647022471653539,15.960946,0.0037923670324716973,17.038342,0.006036322359435712,0.815,0.89095205,0.1994471,2024.77489790287,211.42751854514995,01012216+8530411,14.924,0.107,15.34235499524,85.51141831377,0.9,1.0773954,0.007128761136130296,-2.8734884
573786572522751872,15.337397,0.000319829586499808,14.809356,0.001457862405073373,15.708304,0.0020778492628969174,0.7763,2.1911771,0.25790405,1873.01487590419,83.19919360744007,01001024+8534219,13.824,0.045,15.04278839657,85.57273714511999,1.0,0.89894867,0.00253827113434471,-2.3117523
